ind_code,mod1,pmin,pmax,pmean,psd,mod1n
bulk density,ash content,3.94230769230769,18.9423076923076,4.26961560114063,0.35308523619962,8
N pool,ash content,9.21,24.9333333333333,13.6153916165877,0.723947232838897,8
porosity,ash content,2.26666666666666,15.4222222222222,6.06178790927741,0.785383264870193,8
WHC,ash content,14.8692810457516,24.0196078431372,21.5211239173732,2.65101715737909,8
yield,ash content,7.79702970297029,24.12,10.8520223961164,0.608042396177256,8
bulk density,bc c content,5.67307692307692,14.6153846153846,7.86601857874372,0.180413418482958,3
N pool,bc c content,6.4,22,12.5343477369535,0.875588231755155,3
porosity,bc c content,2.35555555555555,21.2888888888888,3.96000396141746,0.203382000563143,3
WHC,bc c content,13.5620915032679,21.7320261437908,15.6921542705298,0.926459122419186,3
yield,bc c content,11.505016722408,21.19,14.4911742471181,0.652169118284503,3
N pool,bc C:N,14.2666666666666,18.2666666666666,15.1290955667861,0.358255342679052,5
WHC,bc C:N,13.8888888888888,21.2418300653594,15.5909407114158,1.03047252574622,5
yield,bc C:N,11.2374581939799,15.9197324414715,14.4826158186194,0.363044980035349,5
bulk density,bc CEC,3.94230769230769,17.2115384615384,7.66487417655682,0.324931950393705,7
porosity,bc CEC,3.24444444444444,25.7333333333333,13.6435563694377,0.523775110274041,7
bulk density,bc dose,4.78114478114478,15.5555555555555,7.93224402391208,0.19079519909759,1
N pool,bc dose,6.70050761421319,29.2096219931271,13.6195706883815,0.231769697914083,1
porosity,bc dose,1.1659192825112,21.0762331838565,7.66079138103339,0.203340275273925,1
SOC,bc dose,15.7948717948717,73.2307692307692,26.5720476851351,1.12018932238912,1
soil pH,bc dose,6.14634146341463,12.5853658536585,8.88473929401949,0.516799069483115,1
SWC,bc dose,6.44204851752021,16.2803234501347,10.4209293161923,0.610861008677282,1
WHC,bc dose,0.832049306625577,25.2991452991452,12.132155887087,0.876233846673795,1
yield,bc dose,6.60535117056856,70.0729927007299,14.7655375290412,0.233029419419496,1
bulk density,bc hydrogen,3.94230769230769,29.9038461538461,9.91020025845122,0.467319794436894,6
porosity,bc hydrogen,3.24444444444444,29.2888888888888,14.211242274512,0.613464457502092,6
bulk density,bc n content,3.36538461538462,20.3846153846153,6.98075310189251,0.174459006368898,4
porosity,bc n content,2.26666666666666,29.8222222222222,8.54776165108148,0.401425977003036,4
N pool,bc ph,8.13895781637717,23.95,18.5187617531933,0.239177183786032,2
WHC,bc ph,17.4836601307189,18.6274509803921,17.8150466887913,0.935531392911005,2
yield,bc ph,7.22772277227722,23.09,17.7158898877822,0.257905828300985,2
N pool,bulk density,13.9024390243902,18.0487804878048,15.9756097560975,0.219555035128801,17
WHC,bulk density,1.51001540832049,25.6086286594761,14.5718559945003,0.692809461032767,17
yield,bulk density,15.940959409594,19.4833948339483,17.5045171141365,0.245749613953447,17
WHC,climate,1.36752136752136,18.8034188034188,12.8961675156189,0.7448441691052,19
yield,climate,1.24,18.34,11.2118402392996,0.276951376707417,19
N pool,crop type,10.0507614213197,22.994923857868,14.2475555146783,0.233419636260526,20
WHC,crop type,11.6239316239316,26.6666666666666,14.0075047282414,0.929741156030329,20
yield,crop type,9.28213689482471,48.0801335559265,13.9108546422167,0.222953875166702,20
N pool,N rate,8.99653979238754,14.7715736040609,13.0934681331053,0.214815888641786,18
WHC,N rate,10.1845018450184,16.2393162393162,12.5862162866747,0.792524098853979,18
yield,N rate,10.4238754325259,16.6935483870967,14.1028715434229,0.247522473608345,18
bulk density,particle size,3.7037037037037,12.2558922558922,7.86498022418683,0.352703667830922,9
porosity,particle size,2.24215246636771,29.6860986547085,14.1562061485792,0.537656193534632,9
N pool,SOC,8.17073170731707,20.9756097560975,14.1605268001874,0.256043744102028,11
soil pH,SOC,10.9756097560975,17.960088691796,13.8957985414396,0.4100408072223,11
SWC,SOC,9.81132075471698,12.1024258760107,10.6329817693071,0.899871715283221,11
WHC,SOC,4.87084870848708,27.1586715867158,12.4235946907932,1.03275327609927,11
yield,SOC,8.85608856088561,59.6452328159645,14.5828848614354,0.214993073464806,11
N pool,soil C:N,7.39,12.01,10.4144247254109,0.861136028241558,13
yield,soil C:N,8.23,10.15,9.23890059693611,0.752307505697413,13
N pool,soil N,10.9756097560975,27.1951219512195,15.1955674034154,0.316845608277397,12
WHC,soil N,6.34686346863468,30.5535055350553,13.5009051653943,1.3079673454346,12
yield,soil N,7.63837638376383,24.86,15.4828117217686,0.337579619768094,12
N pool,soil ph,7.92682926829268,32.18,13.6598136108568,0.267126519764209,10
soil pH,soil ph,6.11973392461197,16.8292682926829,10.9138558153429,0.271877354155911,10
WHC,soil ph,12.1033210332103,16.6789667896678,13.9269065850649,1.53561195011305,10
yield,soil ph,5.86715867158671,45.2328159645232,14.2223100306488,0.277985304888183,10
bulk density,soil texture,7.3,10.4,9.01689754313599,0.340648385818257,16
N pool,soil texture,6.21951219512195,21.2195121951219,13.505539921807,0.272106921817742,16
porosity,soil texture,5.5,12.3,11.1426592225334,0.304070176443072,16
soil pH,soil texture,10.6430155210643,14.5011086474501,11.8932007397732,0.340507569241524,16
WHC,soil texture,20.1653136531365,20.5726937269373,20.3690036900369,1.74710082544186,16
yield,soil texture,8.47,56.3192904656319,17.1599677901196,0.283499156516203,16
bulk density,SSA,1.05769230769231,26.4423076923076,6.66539026090611,0.205844281154426,14
porosity,SSA,1.02222222222222,12.9333333333333,10.8030834197479,0.111085888805344,14
bulk density,time frame,3.63636363636363,11.6498316498316,8.50909288474437,0.314028034759888,22
N pool,time frame,5.7741116751269,15.1649746192893,13.4036481193867,0.562903482953046,22
soil pH,time frame,8.11387900355871,13.932384341637,10.2487354699231,0.381283807564245,22
yield,time frame,3.41836734693877,39.5017793594306,11.3206882105591,0.454309603835212,22
N pool,water management,0.913705583756345,19.0355329949238,10.6872825394901,0.25487785227004,21
yield,water management,8.1477,8.3123,8.23,1.61479591836735,21
